, no_of_dependents, education, self_employed, income_annum, loan_amount, loan_term, cibil_score, loan_status, movable_assets, immovable_assets, cibil_category
1040,3, Not Graduate, Yes,8000000,28800000,10,576, Approved,28200000,26300000,Fair
1041,0, Not Graduate, Yes,4000000,11000000,8,799, Approved,18900000,10500000,Excellent
1042,1, Not Graduate, Yes,3300000,10800000,2,550, Approved,15700000,9800000,Poor
1043,2, Graduate, No,5800000,13300000,4,878, Approved,23100000,13800000,Excellent
1044,3, Graduate, Yes,2400000,4800000,12,895, Approved,10600000,7100000,Excellent
1045,4, Not Graduate, No,7600000,29700000,6,603, Approved,38800000,6100000,Fair
1046,2, Not Graduate, Yes,2500000,6900000,12,325, Rejected,10000000,7400000,Poor
1047,2, Graduate, No,3300000,11800000,4,393, Approved,9400000,9400000,Poor
1048,3, Graduate, No,9800000,30300000,2,612, Approved,37700000,15300000,Fair
1049,0, Graduate, Yes,1000000,3800000,8,553, Approved,3400000,3500000,Fair
1050,0, Not Graduate, Yes,2500000,8800000,14,389, Rejected,12100000,8700000,Poor
1051,0, Graduate, No,1900000,6800000,4,782, Approved,7300000,3500000,Excellent
1052,3, Graduate, No,3100000,8500000,12,493, Rejected,14000000,13800000,Poor
1053,5, Graduate, Yes,6000000,11900000,2,629, Approved,23400000,2500000,Fair
1054,5, Not Graduate, No,6500000,21600000,10,419, Rejected,28900000,12500000,Poor
1055,2, Not Graduate, Yes,5900000,15800000,2,444, Rejected,25800000,18600000,Poor
1056,5, Not Graduate, Yes,6500000,15800000,16,301, Rejected,24500000,19100000,Poor
1057,0, Graduate, Yes,3800000,11200000,20,479, Rejected,17400000,7500000,Poor
1058,3, Not Graduate, Yes,3000000,11400000,10,424, Rejected,12400000,6000000,Poor
1059,0, Graduate, No,4300000,16900000,18,469, Rejected,18200000,6000000,Poor
1060,4, Not Graduate, Yes,3500000,8300000,2,897, Approved,14400000,13400000,Excellent
1061,3, Not Graduate, No,300000,500000,2,477, Rejected,1200000,900000,Poor
1062,3, Not Graduate, Yes,600000,1400000,16,509, Rejected,3300000,900000,Poor
1063,0, Graduate, Yes,800000,1700000,4,752, Approved,3600000,3400000,Excellent
1064,0, Not Graduate, Yes,5600000,19100000,14,875, Approved,22800000,21400000,Excellent
1065,2, Not Graduate, Yes,1800000,3600000,4,343, Rejected,7700000,4500000,Poor
1066,0, Graduate, No,6800000,20800000,20,819, Approved,34700000,28400000,Excellent
1067,2, Graduate, Yes,4200000,16800000,2,433, Approved,17800000,3300000,Poor
1068,1, Not Graduate, Yes,200000,400000,6,768, Approved,600000,400000,Excellent
1069,2, Graduate, Yes,8500000,31800000,6,714, Approved,32200000,17900000,Good
1070,2, Not Graduate, Yes,2800000,10100000,16,531, Rejected,11300000,5800000,Poor
1071,0, Graduate, Yes,3600000,8600000,6,529, Rejected,16500000,6800000,Poor
1072,1, Not Graduate, No,6200000,19500000,20,448, Rejected,30400000,10400000,Poor
1073,1, Graduate, No,2700000,10000000,2,584, Approved,11100000,9200000,Fair
1074,1, Graduate, No,6800000,22900000,4,501, Approved,21700000,13300000,Poor
1075,2, Not Graduate, No,6300000,24500000,18,848, Approved,26400000,13700000,Excellent
1076,4, Not Graduate, No,8800000,19100000,6,586, Approved,33000000,26400000,Fair
1077,1, Graduate, No,5900000,13000000,2,386, Rejected,15800000,21300000,Poor
1078,5, Not Graduate, Yes,9800000,37900000,18,301, Rejected,40500000,11600000,Poor
1079,2, Graduate, No,3300000,8300000,6,653, Approved,12900000,7800000,Good
1080,4, Graduate, Yes,300000,500000,14,448, Rejected,900000,800000,Poor
1081,1, Not Graduate, Yes,4800000,11600000,16,696, Approved,18300000,10800000,Good
1082,1, Graduate, No,7500000,28300000,16,707, Approved,23000000,10800000,Good
1083,2, Not Graduate, No,8600000,21700000,4,429, Rejected,36900000,16300000,Poor
1084,4, Not Graduate, No,8900000,21100000,6,631, Approved,32000000,4400000,Fair
1085,5, Not Graduate, Yes,9600000,29600000,4,446, Approved,49800000,26400000,Poor
1086,0, Graduate, Yes,7700000,18100000,18,705, Approved,30100000,11200000,Good
1087,3, Not Graduate, Yes,7000000,15200000,2,709, Approved,24700000,22800000,Good
1088,4, Not Graduate, Yes,7800000,19500000,14,739, Approved,24800000,10900000,Good
1089,3, Graduate, No,5100000,11000000,6,336, Rejected,19100000,5700000,Poor
1090,4, Graduate, No,9400000,32600000,4,898, Approved,32200000,22200000,Excellent
1091,4, Not Graduate, Yes,600000,2100000,6,558, Approved,2500000,2300000,Fair
1092,3, Graduate, No,5100000,13300000,4,589, Approved,26300000,13900000,Fair
1093,2, Graduate, Yes,3800000,14400000,2,301, Rejected,10000000,3700000,Poor
1094,2, Not Graduate, Yes,5300000,21200000,14,516, Rejected,28600000,7200000,Poor
1095,5, Not Graduate, No,1100000,3600000,12,315, Rejected,4500000,2000000,Poor
1096,3, Not Graduate, No,6400000,14400000,10,546, Rejected,26300000,20600000,Poor
1097,0, Not Graduate, Yes,5100000,14500000,14,559, Approved,18300000,12100000,Fair
1098,3, Graduate, Yes,5300000,16900000,2,350, Approved,21100000,18900000,Poor
1099,1, Graduate, No,6700000,18700000,8,583, Approved,24000000,13400000,Fair
1100,2, Not Graduate, No,4000000,9400000,8,874, Approved,15000000,8100000,Excellent
1101,2, Not Graduate, Yes,3900000,11600000,8,808, Approved,17900000,8900000,Excellent
1102,1, Graduate, Yes,1600000,4900000,16,487, Rejected,5900000,5400000,Poor
1103,3, Graduate, No,2700000,7800000,14,870, Approved,7800000,10700000,Excellent
1104,3, Graduate, No,1400000,3800000,8,840, Approved,6800000,1900000,Excellent
1105,4, Not Graduate, Yes,8000000,19200000,18,682, Approved,24300000,11400000,Good
1106,3, Graduate, Yes,8200000,28900000,10,668, Approved,39600000,28300000,Good
1107,5, Graduate, Yes,4800000,10300000,8,781, Approved,15400000,11600000,Excellent
1108,4, Graduate, No,8100000,19000000,6,375, Rejected,31000000,18600000,Poor
1109,4, Not Graduate, No,5900000,14900000,14,857, Approved,19500000,12100000,Excellent
1110,5, Graduate, Yes,8100000,32100000,6,823, Approved,30600000,20000000,Excellent
1111,0, Graduate, No,1400000,5000000,8,686, Approved,4700000,3700000,Good
1112,1, Graduate, No,1600000,6300000,2,721, Approved,6100000,3600000,Good
1113,4, Graduate, No,4600000,9400000,18,545, Rejected,17800000,3200000,Poor
1114,1, Not Graduate, No,2900000,8900000,6,523, Rejected,11500000,6500000,Poor
1115,2, Graduate, Yes,8600000,24900000,20,607, Approved,37200000,21200000,Fair
1116,4, Not Graduate, No,3800000,14900000,20,428, Rejected,14700000,10000000,Poor
1117,0, Not Graduate, No,8200000,20300000,4,666, Approved,33700000,23300000,Good
1118,3, Graduate, No,3200000,10100000,20,704, Approved,12900000,8200000,Good
1119,0, Not Graduate, Yes,8100000,23800000,10,794, Approved,29500000,20900000,Excellent
1120,1, Graduate, Yes,9800000,23300000,12,430, Rejected,44400000,15800000,Poor
1121,0, Not Graduate, No,200000,500000,20,615, Approved,800000,700000,Fair
1122,0, Not Graduate, No,6600000,14100000,20,360, Rejected,33200000,11900000,Poor
1123,0, Not Graduate, No,9100000,18300000,14,458, Rejected,44100000,15300000,Poor
1124,2, Not Graduate, No,5500000,20400000,12,887, Approved,15600000,18200000,Excellent
1125,4, Not Graduate, No,7200000,27400000,8,735, Approved,28900000,28300000,Good
1126,1, Not Graduate, No,2400000,5600000,16,379, Rejected,10600000,4300000,Poor
1127,4, Graduate, No,9600000,25500000,20,544, Rejected,34900000,15400000,Poor
1128,1, Graduate, Yes,5800000,16700000,12,721, Approved,24700000,10800000,Good
1129,4, Not Graduate, No,2300000,6000000,8,676, Approved,7000000,6400000,Good
1130,1, Not Graduate, No,300000,1200000,4,342, Approved,1300000,900000,Poor
1131,0, Not Graduate, No,9900000,27000000,16,566, Approved,48400000,20800000,Fair
1132,2, Not Graduate, No,3500000,14000000,2,355, Approved,14700000,10300000,Poor
1133,2, Graduate, No,4800000,18500000,20,605, Approved,20500000,11200000,Fair
1134,2, Not Graduate, No,1600000,5200000,16,525, Rejected,7200000,3200000,Poor
1135,5, Graduate, Yes,800000,2500000,12,403, Rejected,4000000,500000,Poor
1136,1, Graduate, Yes,9000000,33500000,18,727, Approved,33400000,29300000,Good
1137,1, Graduate, No,8300000,28900000,12,529, Rejected,38300000,22200000,Poor
1138,4, Graduate, No,2800000,6100000,18,415, Rejected,10400000,6400000,Poor
1139,1, Graduate, Yes,6400000,17300000,10,879, Approved,23600000,11100000,Excellent
1140,2, Not Graduate, Yes,6000000,12600000,16,649, Approved,29000000,10100000,Fair
1141,0, Graduate, No,2900000,9800000,16,395, Rejected,11000000,9700000,Poor
1142,0, Graduate, No,6500000,24100000,20,488, Rejected,32600000,9300000,Poor
1143,1, Graduate, Yes,200000,400000,8,569, Approved,1000000,400000,Fair
1144,1, Not Graduate, No,8400000,24600000,14,817, Approved,39500000,14900000,Excellent
1145,1, Graduate, Yes,6100000,17800000,20,706, Approved,21200000,26900000,Good
1146,2, Graduate, Yes,8000000,31200000,8,553, Approved,31300000,10300000,Fair
1147,5, Not Graduate, Yes,900000,1800000,14,464, Rejected,2500000,2600000,Poor
1148,2, Graduate, No,7300000,20000000,6,729, Approved,27000000,23800000,Good
1149,4, Not Graduate, Yes,3700000,7400000,12,363, Rejected,14900000,11600000,Poor
1150,2, Graduate, No,5200000,17200000,12,565, Approved,26300000,4800000,Fair
1151,1, Graduate, No,7200000,21000000,14,421, Rejected,26400000,15100000,Poor
1152,0, Not Graduate, Yes,9400000,34200000,10,512, Rejected,38900000,28700000,Poor
1153,3, Not Graduate, Yes,3400000,12400000,2,730, Approved,16800000,6400000,Good
1154,0, Graduate, No,600000,2300000,8,627, Approved,2500000,2300000,Fair
1155,0, Not Graduate, Yes,3300000,10000000,16,434, Rejected,17000000,7100000,Poor
1156,2, Graduate, Yes,5900000,14300000,2,410, Rejected,21000000,16300000,Poor
1157,3, Not Graduate, No,1300000,3600000,16,624, Approved,5200000,4700000,Fair
1158,4, Graduate, Yes,5700000,16900000,4,656, Approved,30400000,20400000,Good
1159,2, Not Graduate, No,7700000,27300000,16,758, Approved,33900000,11900000,Excellent
1160,4, Not Graduate, Yes,7000000,23500000,18,336, Rejected,27500000,24500000,Poor
1161,5, Graduate, No,8100000,21900000,18,378, Rejected,25800000,8600000,Poor
1162,1, Graduate, Yes,1900000,4200000,4,620, Approved,8400000,7500000,Fair
1163,2, Graduate, No,4500000,9100000,18,593, Approved,14900000,500000,Fair
1164,0, Not Graduate, Yes,9600000,34000000,12,710, Approved,45900000,34100000,Good
1165,1, Not Graduate, Yes,5400000,20700000,8,753, Approved,22600000,2700000,Excellent
1166,1, Not Graduate, Yes,7800000,27200000,16,454, Rejected,28500000,19500000,Poor
1167,1, Graduate, Yes,8200000,19100000,8,619, Approved,38100000,29400000,Fair
1168,2, Graduate, No,8900000,28500000,6,367, Rejected,30800000,38800000,Poor
1169,1, Graduate, No,1400000,3100000,20,384, Rejected,6000000,1400000,Poor
1170,2, Graduate, No,1700000,5900000,16,610, Approved,5000000,3400000,Fair
1171,0, Graduate, No,5300000,19500000,12,802, Approved,18400000,13100000,Excellent
1172,3, Graduate, No,6500000,25200000,10,858, Approved,22100000,26300000,Excellent
1173,2, Graduate, No,5900000,14000000,8,599, Approved,24500000,14200000,Fair
1174,4, Graduate, Yes,9800000,27000000,2,395, Rejected,32700000,21700000,Poor
1175,3, Graduate, Yes,7700000,16200000,6,380, Rejected,28900000,26600000,Poor
1176,1, Graduate, No,7900000,27100000,10,803, Approved,28800000,29800000,Excellent
1177,4, Graduate, No,3500000,8900000,20,809, Approved,16900000,8600000,Excellent
1178,4, Not Graduate, No,2400000,6600000,2,722, Approved,8600000,9400000,Good
1179,5, Graduate, No,9900000,35700000,10,392, Rejected,52200000,12200000,Poor
1180,0, Graduate, No,3900000,14500000,8,545, Rejected,13700000,8900000,Poor
1181,2, Not Graduate, Yes,7300000,28500000,10,799, Approved,20100000,24600000,Excellent
1182,0, Graduate, Yes,6400000,21900000,12,727, Approved,29300000,25500000,Good
1183,4, Graduate, No,7100000,19800000,18,530, Rejected,28000000,10500000,Poor
1184,2, Not Graduate, No,8800000,19000000,14,637, Approved,33200000,27600000,Fair
1185,5, Graduate, No,7400000,21000000,4,561, Approved,30300000,25100000,Fair
1186,2, Not Graduate, No,4400000,12000000,20,421, Rejected,19100000,12000000,Poor
1187,3, Graduate, Yes,8600000,30300000,14,459, Rejected,32900000,16100000,Poor
1188,3, Not Graduate, No,6900000,26000000,14,828, Approved,22100000,19000000,Excellent
1189,4, Graduate, No,9600000,27500000,20,679, Approved,44100000,30900000,Good
1190,2, Graduate, Yes,8100000,25700000,8,455, Rejected,29300000,33800000,Poor
1191,0, Not Graduate, No,2600000,9400000,18,879, Approved,7400000,4200000,Excellent
1192,3, Graduate, Yes,9300000,26100000,14,636, Approved,46100000,20800000,Fair
1193,2, Not Graduate, Yes,2100000,5600000,16,426, Rejected,8300000,700000,Poor
1194,4, Not Graduate, Yes,9000000,21500000,14,508, Rejected,37400000,33900000,Poor
1195,3, Not Graduate, Yes,7000000,19200000,4,768, Approved,26900000,22300000,Excellent
1196,3, Not Graduate, No,2200000,6400000,20,667, Approved,11200000,10200000,Good
1197,5, Graduate, Yes,7500000,28200000,2,440, Approved,30400000,14000000,Poor
1198,1, Graduate, Yes,8300000,16800000,2,366, Rejected,31800000,28600000,Poor
1199,2, Not Graduate, No,300000,600000,2,383, Rejected,1500000,900000,Poor
1200,0, Not Graduate, Yes,300000,800000,4,603, Approved,800000,1000000,Fair
1201,3, Graduate, No,3900000,14900000,4,728, Approved,20400000,8700000,Good
1202,0, Not Graduate, No,6600000,20300000,6,549, Rejected,32900000,11700000,Poor
1203,0, Graduate, No,4100000,10700000,8,855, Approved,14300000,12200000,Excellent
1204,5, Graduate, Yes,1800000,5300000,12,461, Rejected,6700000,4800000,Poor
1205,3, Not Graduate, Yes,7000000,16100000,16,379, Rejected,33000000,7200000,Poor
1206,2, Not Graduate, Yes,5100000,13700000,6,559, Approved,17800000,17600000,Fair
1207,1, Not Graduate, Yes,300000,600000,8,816, Approved,1300000,900000,Excellent
1208,4, Not Graduate, Yes,4300000,11400000,2,560, Approved,12200000,13900000,Fair
1209,0, Graduate, Yes,3200000,12000000,14,645, Approved,15500000,6600000,Fair
1210,4, Not Graduate, Yes,4200000,11500000,6,551, Approved,16300000,18200000,Fair
1211,0, Not Graduate, Yes,9600000,22900000,8,515, Rejected,41100000,19000000,Poor
1212,4, Graduate, No,1300000,3600000,10,657, Approved,4000000,5100000,Good
1213,3, Not Graduate, No,2400000,9300000,2,682, Approved,6700000,7500000,Good
1214,0, Graduate, No,600000,1600000,10,588, Approved,1400000,1700000,Fair
1215,5, Graduate, Yes,9600000,38000000,10,359, Rejected,47600000,15700000,Poor
1216,0, Graduate, No,400000,1200000,4,766, Approved,1500000,1200000,Excellent
1217,4, Graduate, No,5900000,19900000,14,469, Rejected,25300000,21000000,Poor
1218,0, Graduate, Yes,700000,1400000,10,618, Approved,2200000,1500000,Fair
1219,0, Not Graduate, Yes,8600000,17700000,20,711, Approved,38200000,22000000,Good
1220,0, Graduate, Yes,9000000,34000000,4,549, Approved,32400000,10900000,Poor
1221,3, Graduate, Yes,5100000,20400000,6,754, Approved,19400000,4300000,Excellent
1222,4, Not Graduate, Yes,500000,1500000,6,461, Rejected,1900000,1800000,Poor
1223,2, Graduate, No,1600000,3800000,10,837, Approved,7100000,4900000,Excellent
1224,0, Graduate, Yes,9800000,23900000,14,459, Rejected,28300000,14400000,Poor
1225,4, Graduate, No,7800000,29700000,20,614, Approved,33100000,22700000,Fair
1226,4, Not Graduate, No,6500000,24000000,16,373, Rejected,22300000,10700000,Poor
1227,5, Graduate, Yes,7500000,26500000,12,512, Rejected,29700000,19400000,Poor
1228,4, Graduate, Yes,8900000,23400000,18,781, Approved,30700000,19600000,Excellent
1229,4, Graduate, Yes,1800000,5800000,14,305, Rejected,5600000,3900000,Poor
1230,1, Not Graduate, Yes,7600000,27800000,6,447, Rejected,31000000,2000000,Poor
1231,4, Graduate, Yes,1200000,4600000,6,757, Approved,6300000,2100000,Excellent
1232,5, Graduate, Yes,2700000,10400000,2,723, Approved,11700000,3500000,Good
1233,1, Not Graduate, Yes,4600000,10900000,12,463, Rejected,17500000,2400000,Poor
1234,2, Not Graduate, No,6900000,18700000,10,699, Approved,26400000,18500000,Good
1235,4, Graduate, Yes,8400000,25200000,2,308, Approved,38200000,17400000,Poor
1236,0, Graduate, No,300000,500000,18,702, Approved,1300000,700000,Good
1237,2, Not Graduate, Yes,9500000,37500000,4,456, Approved,47000000,27000000,Poor
1238,3, Graduate, Yes,1900000,5900000,8,651, Approved,7700000,2800000,Good
1239,3, Not Graduate, No,4200000,14500000,20,840, Approved,13500000,10400000,Excellent
1240,4, Graduate, Yes,2200000,7900000,18,848, Approved,10100000,6800000,Excellent
1241,5, Graduate, Yes,7100000,19700000,4,727, Approved,29400000,20600000,Good
1242,4, Graduate, No,3500000,11600000,10,335, Rejected,12600000,11500000,Poor
1243,5, Not Graduate, No,400000,800000,18,304, Rejected,1800000,1400000,Poor
1244,2, Graduate, Yes,8800000,34400000,2,712, Approved,35200000,23000000,Good
1245,0, Not Graduate, No,1800000,6600000,10,737, Approved,7500000,7000000,Good
1246,1, Graduate, Yes,7600000,29300000,14,690, Approved,39100000,17900000,Good
1247,1, Graduate, Yes,1000000,3200000,4,888, Approved,3500000,3500000,Excellent
1248,2, Not Graduate, Yes,8200000,27200000,10,839, Approved,31500000,15600000,Excellent
1249,5, Not Graduate, Yes,3600000,12400000,8,333, Rejected,14700000,9800000,Poor
1250,5, Graduate, No,9400000,23700000,18,862, Approved,28000000,25000000,Excellent
1251,5, Not Graduate, No,2600000,9100000,4,309, Approved,9300000,7800000,Poor
1252,5, Not Graduate, No,9500000,30700000,10,823, Approved,43400000,20000000,Excellent
1253,0, Graduate, Yes,3500000,11700000,14,649, Approved,16200000,3400000,Fair
1254,5, Not Graduate, Yes,9800000,35700000,10,726, Approved,43200000,28300000,Good
1255,4, Graduate, No,800000,3100000,18,712, Approved,3000000,1100000,Good
1256,0, Not Graduate, No,9700000,37300000,20,701, Approved,34600000,28300000,Good
1257,3, Graduate, No,6200000,21300000,12,655, Approved,24200000,18100000,Good
1258,1, Not Graduate, Yes,4400000,16600000,18,385, Rejected,18500000,6100000,Poor
1259,2, Graduate, No,1800000,3800000,4,777, Approved,6000000,7800000,Excellent
1260,3, Graduate, No,1700000,5300000,14,696, Approved,5300000,1000000,Good
1261,3, Graduate, No,3900000,14100000,16,496, Rejected,16600000,4700000,Poor
1262,2, Graduate, Yes,2200000,7900000,6,659, Approved,11000000,5200000,Good
1263,3, Not Graduate, Yes,6300000,17700000,2,542, Rejected,21700000,17700000,Poor
1264,2, Not Graduate, No,2200000,8700000,18,729, Approved,8900000,7200000,Good
1265,1, Graduate, No,8100000,28400000,6,744, Approved,29500000,30800000,Good
1266,4, Not Graduate, No,6800000,17000000,2,749, Approved,36500000,21800000,Good
1267,0, Graduate, No,4700000,14800000,20,755, Approved,19100000,17300000,Excellent
1268,3, Graduate, Yes,2200000,5300000,2,506, Rejected,8600000,3300000,Poor
1269,3, Graduate, Yes,3500000,13000000,6,391, Rejected,17600000,9600000,Poor
1270,1, Not Graduate, Yes,3500000,11600000,10,898, Approved,13500000,5800000,Excellent
1271,5, Not Graduate, No,500000,1500000,12,527, Rejected,1300000,700000,Poor
1272,5, Not Graduate, No,9900000,35800000,20,470, Rejected,53800000,27900000,Poor
1273,1, Graduate, No,8400000,25000000,12,694, Approved,30700000,20200000,Good
1274,1, Graduate, No,5000000,18800000,14,325, Rejected,17100000,18800000,Poor
1275,4, Not Graduate, Yes,5500000,13400000,10,880, Approved,22700000,1100000,Excellent
1276,5, Graduate, Yes,3000000,11900000,14,459, Rejected,15900000,10800000,Poor
1277,3, Not Graduate, Yes,9400000,21400000,10,323, Rejected,40900000,20600000,Poor
1278,4, Graduate, No,7600000,29000000,8,739, Approved,30900000,30200000,Good
1279,0, Not Graduate, Yes,5500000,16300000,10,724, Approved,18100000,13400000,Good
1280,1, Graduate, No,3100000,7400000,18,487, Rejected,13700000,9600000,Poor
1281,3, Graduate, No,7700000,27700000,4,439, Approved,33300000,21400000,Poor
1282,2, Graduate, No,9800000,25400000,2,655, Approved,29200000,24500000,Good
1283,3, Not Graduate, No,3200000,9200000,14,443, Rejected,11700000,4400000,Poor
1284,2, Graduate, No,700000,2600000,20,489, Rejected,3300000,300000,Poor
1285,4, Not Graduate, Yes,3100000,8600000,14,427, Rejected,13600000,6900000,Poor
1286,0, Graduate, Yes,4500000,10500000,20,417, Rejected,15400000,11800000,Poor
1287,5, Not Graduate, Yes,8900000,24800000,18,842, Approved,28100000,21200000,Excellent
1288,3, Not Graduate, No,5900000,23200000,2,307, Approved,27400000,25500000,Poor
1289,2, Not Graduate, No,1500000,4500000,18,428, Rejected,6700000,5700000,Poor
1290,4, Not Graduate, Yes,6300000,15200000,16,415, Rejected,28600000,17300000,Poor
1291,3, Not Graduate, Yes,6500000,18200000,20,405, Rejected,28000000,13200000,Poor
1292,4, Graduate, No,8000000,31500000,18,683, Approved,39700000,18200000,Good
1293,1, Graduate, Yes,3300000,10600000,14,742, Approved,12900000,900000,Good
1294,4, Not Graduate, No,3900000,10000000,10,530, Rejected,14200000,11100000,Poor
1295,3, Graduate, No,1600000,3500000,10,844, Approved,6800000,6700000,Excellent
1296,2, Not Graduate, Yes,3900000,13900000,18,715, Approved,12000000,10600000,Good
1297,3, Graduate, Yes,8000000,26300000,12,476, Rejected,25400000,28300000,Poor
1298,2, Graduate, No,2200000,4800000,6,721, Approved,9100000,1900000,Good
1299,4, Not Graduate, No,7600000,30300000,12,339, Rejected,28000000,28400000,Poor
1300,5, Not Graduate, Yes,2700000,6800000,6,461, Rejected,9900000,6500000,Poor
1301,2, Graduate, Yes,6300000,23200000,12,556, Approved,29500000,15300000,Fair
1302,3, Not Graduate, No,7700000,18700000,8,483, Rejected,34800000,20700000,Poor
1303,2, Graduate, No,4500000,17200000,18,406, Rejected,17100000,10400000,Poor
1304,2, Graduate, Yes,9400000,24800000,14,513, Rejected,44700000,42400000,Poor
1305,0, Not Graduate, No,4600000,12600000,16,574, Approved,18700000,9600000,Fair
1306,0, Graduate, Yes,5200000,15700000,6,692, Approved,18300000,10800000,Good
1307,5, Graduate, Yes,8000000,29800000,18,867, Approved,32000000,31800000,Excellent
1308,1, Not Graduate, Yes,9900000,38500000,2,875, Approved,26700000,22500000,Excellent
1309,4, Graduate, Yes,8500000,18600000,10,597, Approved,32600000,19800000,Fair
1310,2, Graduate, Yes,4900000,12000000,20,513, Rejected,23100000,22300000,Poor
1311,3, Graduate, Yes,7000000,24200000,2,354, Approved,23800000,25200000,Poor
1312,2, Not Graduate, No,9600000,25900000,18,647, Approved,47100000,21700000,Fair
1313,1, Graduate, No,9700000,23700000,6,875, Approved,48500000,25900000,Excellent
1314,1, Graduate, No,6200000,14300000,20,819, Approved,21000000,19200000,Excellent
1315,4, Not Graduate, Yes,4100000,9600000,10,521, Rejected,19000000,19000000,Poor
1316,0, Graduate, Yes,6100000,19900000,20,761, Approved,19800000,8200000,Excellent
1317,0, Graduate, No,700000,1900000,18,572, Approved,2300000,2400000,Fair
1318,3, Graduate, No,6400000,24100000,12,571, Approved,20700000,30500000,Fair
1319,4, Graduate, Yes,3800000,7800000,20,891, Approved,17600000,11600000,Excellent
1320,1, Not Graduate, No,4900000,14800000,12,895, Approved,23500000,16800000,Excellent
1321,2, Graduate, No,2100000,6600000,20,580, Approved,8300000,7900000,Fair
1322,2, Graduate, No,6200000,23400000,8,605, Approved,31000000,20800000,Fair
1323,4, Not Graduate, No,1600000,5100000,8,705, Approved,7000000,3200000,Good
1324,1, Not Graduate, Yes,1300000,5000000,20,423, Rejected,5500000,1700000,Poor
1325,5, Not Graduate, Yes,7300000,22500000,2,846, Approved,26000000,14500000,Excellent
1326,2, Not Graduate, No,2100000,5000000,4,542, Rejected,9700000,1300000,Poor
1327,5, Not Graduate, No,600000,2400000,18,631, Approved,3000000,900000,Fair
1328,4, Graduate, No,7000000,24500000,18,318, Rejected,19900000,6000000,Poor
1329,1, Not Graduate, Yes,3000000,6800000,10,541, Rejected,13600000,11500000,Poor
1330,1, Graduate, No,900000,2900000,20,782, Approved,4300000,1500000,Excellent
1331,2, Graduate, No,9600000,35000000,2,888, Approved,43700000,19100000,Excellent
1332,0, Graduate, No,1500000,3600000,14,747, Approved,4200000,1600000,Good
1333,0, Graduate, Yes,5000000,18900000,6,641, Approved,26300000,12800000,Fair
1334,3, Graduate, Yes,500000,1700000,4,640, Approved,1500000,1100000,Fair
1335,4, Not Graduate, No,7600000,28100000,12,324, Rejected,31000000,21000000,Poor
1336,4, Graduate, No,5500000,21200000,20,359, Rejected,25000000,9500000,Poor
1337,0, Not Graduate, Yes,6600000,23300000,12,338, Rejected,28200000,3200000,Poor
1338,0, Graduate, No,1400000,3200000,14,384, Rejected,5400000,3900000,Poor
1339,5, Not Graduate, Yes,8800000,26600000,16,545, Rejected,38000000,35700000,Poor
1340,5, Not Graduate, No,6200000,24200000,18,610, Approved,27900000,18000000,Fair
1341,2, Graduate, Yes,8300000,27900000,18,840, Approved,28300000,16100000,Excellent
1342,3, Not Graduate, No,2400000,8100000,6,630, Approved,11400000,8000000,Fair
1343,1, Graduate, No,9100000,31200000,4,508, Approved,38900000,24500000,Poor
1344,0, Not Graduate, Yes,9500000,34900000,4,535, Approved,39600000,14900000,Poor
1345,1, Graduate, No,1200000,3400000,20,717, Approved,3400000,4600000,Good
1346,2, Graduate, Yes,7700000,19300000,8,735, Approved,34200000,3100000,Good
1347,5, Graduate, Yes,7800000,22000000,20,528, Rejected,29600000,14600000,Poor
1348,0, Graduate, Yes,9400000,20000000,4,350, Rejected,41900000,4700000,Poor
1349,0, Not Graduate, No,1700000,5700000,12,422, Rejected,7400000,4500000,Poor
1350,5, Graduate, No,4000000,13700000,6,496, Rejected,19500000,1300000,Poor
1351,4, Not Graduate, No,4200000,15500000,18,794, Approved,15600000,8000000,Excellent
1352,2, Graduate, No,2400000,7700000,6,719, Approved,8300000,7700000,Good
1353,3, Not Graduate, Yes,2700000,6100000,14,630, Approved,12900000,6700000,Fair
1354,3, Not Graduate, Yes,600000,1800000,4,843, Approved,2100000,1700000,Excellent
1355,2, Graduate, No,4600000,15600000,2,764, Approved,21800000,9200000,Excellent
1356,3, Graduate, No,7200000,17700000,4,662, Approved,21600000,24600000,Good
1357,0, Not Graduate, No,4700000,15500000,16,311, Rejected,20200000,13000000,Poor
1358,4, Not Graduate, No,4300000,10100000,2,606, Approved,14400000,11700000,Fair
1359,5, Graduate, No,4700000,10200000,16,874, Approved,18100000,18500000,Excellent
1360,4, Not Graduate, Yes,8700000,30000000,4,370, Approved,46700000,33200000,Poor
1361,1, Graduate, No,7000000,20500000,10,414, Rejected,25800000,27200000,Poor
1362,2, Not Graduate, No,600000,1100000,10,800, Approved,3200000,1400000,Excellent
1363,1, Not Graduate, No,6800000,16900000,12,779, Approved,27800000,24000000,Excellent
1364,1, Not Graduate, No,6400000,14100000,20,553, Approved,23600000,16200000,Fair
1365,4, Not Graduate, No,7600000,29900000,18,445, Rejected,24100000,18700000,Poor
1366,3, Not Graduate, No,9000000,21400000,8,496, Rejected,44300000,23700000,Poor
1367,0, Graduate, Yes,2400000,5900000,10,650, Approved,7600000,8800000,Fair
1368,3, Not Graduate, No,6800000,17900000,6,783, Approved,29100000,29800000,Excellent
1369,5, Graduate, Yes,3500000,13500000,10,535, Rejected,15600000,8800000,Poor
1370,4, Graduate, Yes,8900000,34000000,20,415, Rejected,46400000,16600000,Poor
