 no_of_dependents, education, self_employed, income_annum, loan_amount, loan_term, cibil_score, loan_status, movable_assets, immovable_assets,loan_to_income_ratio,assets_to_loan_ratio, cibil_category
5, Graduate, No,9200000,29200000,16,383, Rejected,36100000,31000000,3.1739130434782608,2.297945205479452,Poor
0, Graduate, Yes,6100000,19700000,16,678, Approved,24800000,16000000,3.2295081967213113,2.0710659898477157,Good
1, Graduate, Yes,4400000,14700000,8,894, Approved,11800000,17700000,3.340909090909091,2.006802721088435,Excellent
4, Not Graduate, No,9900000,22700000,12,567, Approved,35100000,38200000,2.292929292929293,3.2290748898678414,Fair
5, Not Graduate, No,3900000,14000000,4,708, Approved,20800000,2500000,3.58974358974359,1.6642857142857144,Good
3, Graduate, No,6800000,21200000,2,433, Approved,29500000,12600000,3.1176470588235294,1.9858490566037736,Poor
4, Not Graduate, No,3600000,8700000,14,302, Rejected,11900000,10100000,2.4166666666666665,2.528735632183908,Poor
4, Graduate, No,700000,2600000,14,736, Approved,2300000,2700000,3.7142857142857144,1.9230769230769231,Good
2, Not Graduate, Yes,4000000,8500000,6,323, Rejected,18400000,12200000,2.125,3.6,Poor
4, Graduate, No,1800000,4100000,12,670, Approved,6900000,4800000,2.2777777777777777,2.8536585365853657,Good
3, Not Graduate, No,5600000,21000000,12,609, Approved,20700000,19800000,3.75,1.9285714285714286,Fair
4, Not Graduate, No,6800000,24200000,18,349, Rejected,25200000,18800000,3.5588235294117645,1.8181818181818181,Poor
5, Not Graduate, Yes,600000,1500000,2,319, Rejected,2700000,1200000,2.5,2.6,Poor
1, Not Graduate, No,4200000,16200000,14,391, Rejected,16700000,7900000,3.857142857142857,1.5185185185185186,Poor
4, Not Graduate, No,5000000,18700000,10,755, Approved,15600000,4200000,3.74,1.0588235294117647,Excellent
1, Not Graduate, No,4100000,12200000,6,354, Rejected,19800000,12900000,2.975609756097561,2.680327868852459,Poor
3, Not Graduate, Yes,2200000,8800000,2,877, Approved,9500000,6300000,4.0,1.7954545454545454,Excellent
1, Not Graduate, No,3400000,8600000,16,312, Rejected,11400000,12500000,2.5294117647058822,2.7790697674418605,Poor
0, Graduate, No,7100000,15900000,14,746, Approved,31500000,13400000,2.23943661971831,2.8238993710691824,Good
3, Graduate, No,5800000,19600000,16,313, Rejected,29000000,19200000,3.3793103448275863,2.4591836734693877,Poor
2, Graduate, No,3400000,12900000,14,857, Approved,10600000,5900000,3.7941176470588234,1.2790697674418605,Excellent
2, Not Graduate, No,7700000,18300000,20,504, Rejected,22900000,15100000,2.3766233766233764,2.0765027322404372,Poor
0, Graduate, No,500000,1200000,14,556, Approved,2300000,900000,2.4,2.6666666666666665,Fair
2, Graduate, Yes,5300000,11000000,14,393, Rejected,25700000,9200000,2.0754716981132075,3.172727272727273,Poor
0, Graduate, No,4700000,14400000,14,881, Approved,20000000,17100000,3.0638297872340425,2.576388888888889,Excellent
2, Graduate, Yes,4300000,12200000,14,719, Approved,19700000,7700000,2.8372093023255816,2.2459016393442623,Good
2, Graduate, Yes,900000,2500000,16,458, Rejected,4300000,0,2.7777777777777777,1.72,Poor
4, Graduate, No,2000000,7500000,14,857, Approved,6300000,5800000,3.75,1.6133333333333333,Excellent
2, Graduate, Yes,2000000,7600000,16,429, Rejected,8000000,8400000,3.8,2.1578947368421053,Poor
3, Not Graduate, No,4100000,15900000,12,538, Rejected,14500000,4700000,3.8780487804878048,1.2075471698113207,Poor
1, Not Graduate, No,6900000,14400000,10,828, Approved,35700000,17600000,2.0869565217391304,3.701388888888889,Excellent
5, Graduate, Yes,2300000,6100000,6,339, Rejected,10700000,7600000,2.652173913043478,3.0,Poor
5, Graduate, Yes,5800000,16600000,18,376, Rejected,23900000,10000000,2.8620689655172415,2.0421686746987953,Poor
5, Not Graduate, No,8000000,30000000,14,549, Rejected,24300000,15000000,3.75,1.31,Poor
3, Not Graduate, Yes,3700000,12700000,18,587, Approved,12900000,14100000,3.4324324324324325,2.125984251968504,Fair
0, Not Graduate, No,2600000,8400000,18,861, Approved,10000000,3500000,3.230769230769231,1.6071428571428572,Excellent
0, Not Graduate, No,3000000,7000000,12,409, Rejected,11500000,11300000,2.3333333333333335,3.257142857142857,Poor
4, Graduate, No,2700000,10200000,4,528, Approved,11600000,10000000,3.7777777777777777,2.1176470588235294,Poor
4, Not Graduate, No,5700000,19600000,8,691, Approved,15100000,11000000,3.43859649122807,1.3316326530612246,Good
2, Graduate, No,1500000,3600000,4,584, Approved,6500000,5200000,2.4,3.25,Fair
5, Not Graduate, No,6800000,20000000,4,459, Rejected,29900000,17500000,2.9411764705882355,2.37,Poor
1, Graduate, Yes,8100000,31700000,10,755, Approved,34800000,12700000,3.9135802469135803,1.498422712933754,Excellent
3, Not Graduate, Yes,9200000,27700000,20,688, Approved,37000000,21100000,3.010869565217391,2.0974729241877257,Good
1, Not Graduate, Yes,7600000,26000000,6,384, Rejected,27900000,3800000,3.4210526315789473,1.2192307692307693,Poor
4, Graduate, No,600000,1600000,20,869, Approved,1900000,2400000,2.6666666666666665,2.6875,Excellent
1, Not Graduate, Yes,4700000,18700000,20,445, Rejected,15100000,2100000,3.978723404255319,0.9197860962566845,Poor
0, Graduate, No,1400000,5500000,6,393, Rejected,7200000,2000000,3.9285714285714284,1.6727272727272726,Poor
3, Graduate, Yes,9400000,24600000,10,414, Rejected,29400000,22200000,2.617021276595745,2.097560975609756,Poor
2, Graduate, No,9700000,19900000,16,395, Rejected,47800000,16500000,2.051546391752577,3.2311557788944723,Poor
3, Not Graduate, Yes,8900000,21000000,14,815, Approved,28000000,11000000,2.359550561797753,1.8571428571428572,Excellent
5, Graduate, No,4600000,10500000,8,758, Approved,18700000,8200000,2.282608695652174,2.5619047619047617,Excellent
5, Not Graduate, Yes,5600000,14500000,10,457, Rejected,25200000,14700000,2.5892857142857144,2.7517241379310344,Poor
0, Graduate, Yes,1000000,3200000,10,854, Approved,4100000,3400000,3.2,2.34375,Excellent
3, Graduate, No,3500000,10300000,16,324, Rejected,15000000,3300000,2.942857142857143,1.7766990291262137,Poor
0, Not Graduate, No,7900000,31500000,14,849, Approved,37200000,29700000,3.9873417721518987,2.123809523809524,Excellent
3, Graduate, Yes,6100000,24200000,12,672, Approved,28500000,11400000,3.9672131147540983,1.6487603305785123,Good
3, Not Graduate, Yes,8900000,20900000,6,859, Approved,40400000,26100000,2.348314606741573,3.1818181818181817,Excellent
4, Graduate, No,5300000,15400000,8,584, Approved,19000000,6800000,2.9056603773584904,1.6753246753246753,Fair
5, Not Graduate, No,1300000,4800000,4,346, Approved,5000000,4800000,3.6923076923076925,2.0416666666666665,Poor
3, Graduate, No,4000000,12800000,18,635, Approved,17100000,13000000,3.2,2.3515625,Fair
2, Not Graduate, No,8700000,22700000,4,365, Rejected,37400000,23000000,2.6091954022988504,2.66079295154185,Poor
1, Not Graduate, No,9500000,20000000,16,856, Approved,41900000,24900000,2.1052631578947367,3.34,Excellent
5, Graduate, Yes,9000000,20000000,2,440, Rejected,36100000,18100000,2.2222222222222223,2.71,Poor
0, Graduate, Yes,7300000,23300000,2,616, Approved,29900000,21600000,3.191780821917808,2.2103004291845494,Fair
3, Graduate, Yes,7400000,25700000,2,461, Approved,20200000,8600000,3.472972972972973,1.1206225680933852,Poor
5, Not Graduate, No,3100000,10800000,10,681, Approved,8900000,6800000,3.4838709677419355,1.4537037037037037,Good
2, Graduate, No,4300000,9400000,2,485, Rejected,13200000,19100000,2.186046511627907,3.4361702127659575,Poor
1, Graduate, Yes,2400000,8300000,6,684, Approved,7600000,9000000,3.4583333333333335,2.0,Good
1, Graduate, No,5400000,17900000,14,727, Approved,17000000,13100000,3.314814814814815,1.681564245810056,Good
2, Not Graduate, No,1600000,5100000,6,784, Approved,5900000,3800000,3.1875,1.9019607843137254,Excellent
3, Not Graduate, Yes,9900000,20400000,4,865, Approved,49300000,29900000,2.0606060606060606,3.8823529411764706,Excellent
3, Not Graduate, No,5800000,20100000,18,791, Approved,21900000,12200000,3.4655172413793105,1.6965174129353233,Excellent
4, Not Graduate, No,2200000,8500000,16,866, Approved,9600000,5900000,3.8636363636363638,1.8235294117647058,Excellent
0, Graduate, No,5000000,14400000,2,761, Approved,17100000,7200000,2.88,1.6875,Excellent
2, Not Graduate, Yes,600000,2100000,18,572, Approved,1700000,900000,3.5,1.2380952380952381,Fair
4, Graduate, No,2200000,8600000,6,601, Approved,10000000,5600000,3.909090909090909,1.813953488372093,Fair
1, Graduate, Yes,2600000,5500000,14,820, Approved,11300000,5100000,2.1153846153846154,2.981818181818182,Excellent
4, Not Graduate, No,1200000,4300000,8,598, Approved,4500000,3400000,3.5833333333333335,1.8372093023255813,Fair
2, Graduate, No,3100000,8700000,18,544, Rejected,13700000,6400000,2.806451612903226,2.310344827586207,Poor
5, Not Graduate, Yes,4600000,14500000,14,561, Approved,16000000,8500000,3.152173913043478,1.6896551724137931,Fair
4, Graduate, Yes,9300000,35500000,6,547, Rejected,40900000,20600000,3.817204301075269,1.732394366197183,Poor
4, Graduate, No,6300000,13400000,2,504, Rejected,23900000,21400000,2.126984126984127,3.3805970149253732,Poor
2, Not Graduate, No,5900000,20800000,14,530, Rejected,21900000,12900000,3.5254237288135593,1.6730769230769231,Poor
2, Graduate, Yes,2900000,10600000,6,614, Approved,11200000,1300000,3.6551724137931036,1.179245283018868,Fair
4, Not Graduate, No,6100000,22400000,18,351, Rejected,29200000,16800000,3.6721311475409837,2.0535714285714284,Poor
4, Graduate, Yes,5900000,19700000,10,431, Rejected,28000000,12500000,3.3389830508474576,2.0558375634517767,Poor
1, Not Graduate, Yes,4600000,18400000,10,403, Rejected,20200000,9000000,4.0,1.5869565217391304,Poor
2, Not Graduate, No,7000000,20200000,8,668, Approved,35200000,21600000,2.8857142857142857,2.8118811881188117,Good
3, Not Graduate, Yes,5100000,10400000,18,399, Rejected,24700000,12300000,2.0392156862745097,3.5576923076923075,Poor
1, Graduate, No,3100000,10600000,14,665, Approved,13400000,7000000,3.4193548387096775,1.9245283018867925,Good
2, Graduate, No,4100000,12800000,16,344, Rejected,19900000,17300000,3.1219512195121952,2.90625,Poor
0, Graduate, No,1800000,5400000,16,555, Approved,6800000,6800000,3.0,2.5185185185185186,Fair
4, Not Graduate, Yes,8200000,26900000,20,301, Rejected,40900000,37400000,3.2804878048780486,2.9107806691449816,Poor
2, Not Graduate, Yes,800000,2100000,6,726, Approved,3200000,2000000,2.625,2.4761904761904763,Good
2, Graduate, No,8400000,23100000,6,689, Approved,30800000,8200000,2.75,1.6883116883116882,Good
0, Not Graduate, No,8500000,33900000,4,665, Approved,22400000,21300000,3.988235294117647,1.289085545722714,Good
3, Not Graduate, Yes,3300000,12700000,16,608, Approved,17100000,9800000,3.8484848484848486,2.1181102362204722,Fair
3, Not Graduate, No,5800000,12800000,20,335, Rejected,23300000,7400000,2.206896551724138,2.3984375,Poor
3, Not Graduate, No,4400000,10500000,18,677, Approved,17100000,2100000,2.3863636363636362,1.8285714285714285,Good
1, Not Graduate, No,2600000,8500000,2,491, Approved,7900000,3500000,3.269230769230769,1.3411764705882352,Poor
2, Not Graduate, Yes,9600000,28100000,20,763, Approved,37800000,34800000,2.9270833333333335,2.583629893238434,Excellent
5, Not Graduate, Yes,5200000,18100000,8,809, Approved,19500000,9300000,3.480769230769231,1.591160220994475,Excellent
5, Not Graduate, Yes,9700000,36400000,16,544, Rejected,36500000,18500000,3.752577319587629,1.510989010989011,Poor
1, Graduate, Yes,200000,800000,14,624, Approved,600000,600000,4.0,1.5,Fair
3, Graduate, No,6500000,16800000,10,388, Rejected,22100000,10300000,2.5846153846153848,1.9285714285714286,Poor
4, Graduate, Yes,7200000,23100000,14,644, Approved,22500000,16800000,3.2083333333333335,1.7012987012987013,Fair
0, Not Graduate, No,5200000,18400000,14,600, Approved,20100000,17000000,3.5384615384615383,2.016304347826087,Fair
2, Not Graduate, No,6500000,14100000,2,709, Approved,24900000,13700000,2.169230769230769,2.7375886524822697,Good
5, Graduate, Yes,2300000,5600000,8,642, Approved,11100000,4500000,2.4347826086956523,2.7857142857142856,Fair
0, Not Graduate, Yes,3300000,10400000,4,423, Approved,14800000,12100000,3.1515151515151514,2.5865384615384617,Poor
0, Not Graduate, Yes,2000000,5900000,12,900, Approved,10100000,6200000,2.95,2.76271186440678,Excellent
2, Graduate, Yes,8300000,19500000,4,415, Rejected,30300000,11700000,2.3493975903614457,2.1538461538461537,Poor
4, Graduate, Yes,3800000,14300000,4,645, Approved,15500000,2400000,3.763157894736842,1.2517482517482517,Fair
0, Not Graduate, No,5700000,15600000,16,742, Approved,18200000,6500000,2.736842105263158,1.5833333333333333,Good
4, Not Graduate, No,7300000,19800000,8,724, Approved,39300000,11500000,2.712328767123288,2.5656565656565657,Good
1, Graduate, No,1600000,5400000,12,707, Approved,7000000,2300000,3.375,1.7222222222222223,Good
5, Not Graduate, Yes,800000,2500000,4,780, Approved,2100000,1400000,3.125,1.4,Excellent
4, Not Graduate, No,6300000,21900000,10,538, Rejected,27100000,15000000,3.4761904761904763,1.9223744292237444,Poor
2, Graduate, No,8800000,17700000,14,706, Approved,39500000,27200000,2.0113636363636362,3.768361581920904,Good
0, Graduate, No,7300000,14500000,16,811, Approved,25700000,13400000,1.9863013698630136,2.696551724137931,Excellent
2, Graduate, Yes,3800000,9100000,14,849, Approved,12000000,8700000,2.3947368421052633,2.2747252747252746,Excellent
3, Graduate, No,6200000,16700000,10,880, Approved,29200000,24000000,2.693548387096774,3.18562874251497,Excellent
5, Not Graduate, Yes,3500000,9500000,4,664, Approved,13000000,10000000,2.7142857142857144,2.4210526315789473,Good
5, Graduate, Yes,1400000,5000000,2,465, Approved,6800000,2600000,3.5714285714285716,1.88,Poor
3, Not Graduate, Yes,3500000,12000000,2,786, Approved,12400000,7000000,3.4285714285714284,1.6166666666666667,Excellent
1, Graduate, Yes,600000,2000000,10,326, Rejected,3100000,1400000,3.3333333333333335,2.25,Poor
0, Not Graduate, No,4100000,10800000,16,399, Rejected,18000000,13500000,2.6341463414634148,2.9166666666666665,Poor
2, Not Graduate, Yes,5400000,11500000,6,841, Approved,17700000,6900000,2.1296296296296298,2.139130434782609,Excellent
2, Not Graduate, Yes,2000000,6700000,14,638, Approved,7200000,5100000,3.35,1.835820895522388,Fair
4, Graduate, Yes,3500000,8900000,4,478, Rejected,15100000,7900000,2.5428571428571427,2.5842696629213484,Poor
0, Graduate, Yes,8300000,30000000,4,600, Approved,36800000,27100000,3.6144578313253013,2.13,Fair
0, Graduate, Yes,6700000,15600000,16,768, Approved,29800000,2100000,2.328358208955224,2.0448717948717947,Excellent
0, Not Graduate, No,1900000,6500000,10,523, Rejected,7300000,3500000,3.4210526315789473,1.6615384615384616,Poor
2, Graduate, Yes,6500000,20900000,14,327, Rejected,27500000,8300000,3.2153846153846155,1.7129186602870814,Poor
1, Graduate, Yes,600000,1800000,8,799, Approved,3000000,1700000,3.0,2.611111111111111,Excellent
5, Graduate, No,7000000,23000000,18,803, Approved,31900000,25000000,3.2857142857142856,2.473913043478261,Excellent
2, Graduate, No,7700000,15400000,18,524, Rejected,27600000,18000000,2.0,2.961038961038961,Poor
1, Graduate, No,2600000,6600000,6,506, Rejected,11700000,4200000,2.5384615384615383,2.409090909090909,Poor
1, Graduate, No,9200000,18800000,2,351, Rejected,44500000,24600000,2.0434782608695654,3.675531914893617,Poor
2, Graduate, Yes,1800000,4200000,8,648, Approved,7800000,4300000,2.3333333333333335,2.880952380952381,Fair
1, Not Graduate, No,4900000,18500000,4,612, Approved,19300000,12000000,3.7755102040816326,1.691891891891892,Fair
1, Graduate, No,5700000,12400000,14,396, Rejected,23200000,12900000,2.175438596491228,2.911290322580645,Poor
3, Not Graduate, No,300000,800000,2,458, Rejected,1300000,500000,2.6666666666666665,2.25,Poor
3, Graduate, Yes,1700000,3400000,6,488, Rejected,6100000,600000,2.0,1.9705882352941178,Poor
4, Graduate, No,7000000,18900000,6,475, Rejected,19900000,7400000,2.7,1.4444444444444444,Poor
1, Not Graduate, No,2200000,7000000,18,417, Rejected,8400000,5900000,3.1818181818181817,2.0428571428571427,Poor
2, Not Graduate, No,6800000,18700000,8,781, Approved,29100000,18500000,2.75,2.5454545454545454,Excellent
1, Not Graduate, Yes,2400000,6200000,12,337, Rejected,11700000,5500000,2.5833333333333335,2.774193548387097,Poor
0, Not Graduate, Yes,600000,1800000,12,511, Rejected,2600000,500000,3.0,1.7222222222222223,Poor
4, Graduate, No,6200000,17300000,6,837, Approved,29300000,16300000,2.7903225806451615,2.6358381502890174,Excellent
1, Not Graduate, No,7600000,24600000,12,810, Approved,35500000,11800000,3.236842105263158,1.9227642276422765,Excellent
2, Not Graduate, No,4800000,10600000,8,588, Approved,19500000,8900000,2.2083333333333335,2.6792452830188678,Fair
5, Graduate, No,4200000,9200000,12,870, Approved,18000000,5600000,2.1904761904761907,2.5652173913043477,Excellent
0, Not Graduate, Yes,7200000,20700000,10,733, Approved,29100000,27600000,2.875,2.739130434782609,Good
5, Not Graduate, Yes,6400000,20300000,16,348, Rejected,27300000,20900000,3.171875,2.374384236453202,Poor
0, Not Graduate, Yes,8900000,23000000,12,741, Approved,34200000,16800000,2.5842696629213484,2.217391304347826,Good
3, Not Graduate, No,5100000,14500000,12,306, Rejected,14500000,9500000,2.843137254901961,1.6551724137931034,Poor
2, Graduate, Yes,6300000,19500000,18,428, Rejected,26400000,23100000,3.0952380952380953,2.5384615384615383,Poor
3, Graduate, No,6600000,22100000,4,455, Approved,32500000,6800000,3.3484848484848486,1.7782805429864252,Poor
1, Not Graduate, Yes,4800000,14700000,2,356, Approved,18900000,15900000,3.0625,2.36734693877551,Poor
0, Graduate, No,200000,400000,4,594, Approved,500000,500000,2.0,2.5,Fair
0, Not Graduate, Yes,7500000,25800000,18,844, Approved,25100000,9700000,3.44,1.3488372093023255,Excellent
4, Graduate, No,9000000,34700000,4,771, Approved,41800000,14300000,3.8555555555555556,1.61671469740634,Excellent
2, Graduate, No,5400000,12500000,4,622, Approved,17200000,17300000,2.314814814814815,2.76,Fair
1, Not Graduate, Yes,1700000,4500000,20,480, Rejected,7300000,800000,2.6470588235294117,1.8,Poor
4, Graduate, No,4300000,11500000,20,337, Rejected,22200000,17100000,2.6744186046511627,3.417391304347826,Poor
1, Graduate, No,5200000,11200000,6,698, Approved,21500000,21700000,2.1538461538461537,3.857142857142857,Good
4, Not Graduate, No,4400000,17000000,18,302, Rejected,19700000,3100000,3.8636363636363638,1.3411764705882352,Poor
1, Not Graduate, Yes,3900000,7800000,14,349, Rejected,15400000,11700000,2.0,3.4743589743589745,Poor
0, Graduate, No,1100000,3300000,10,482, Rejected,4500000,3100000,3.0,2.303030303030303,Poor
2, Graduate, No,2500000,8200000,10,429, Rejected,8100000,5600000,3.28,1.670731707317073,Poor
4, Graduate, No,500000,1300000,8,471, Rejected,2200000,800000,2.6,2.3076923076923075,Poor
0, Graduate, Yes,9000000,32400000,10,895, Approved,30200000,22600000,3.6,1.6296296296296295,Excellent
1, Not Graduate, Yes,5100000,20300000,18,757, Approved,16600000,15200000,3.980392156862745,1.5665024630541873,Excellent
2, Graduate, No,5200000,13500000,2,777, Approved,21600000,12200000,2.5961538461538463,2.5037037037037035,Excellent
5, Not Graduate, Yes,4400000,8900000,4,761, Approved,17200000,9100000,2.022727272727273,2.955056179775281,Excellent
1, Graduate, No,1900000,4200000,12,821, Approved,7700000,6700000,2.210526315789474,3.4285714285714284,Excellent
4, Not Graduate, Yes,9200000,26500000,6,662, Approved,32200000,1400000,2.880434782608696,1.2679245283018867,Good
2, Not Graduate, Yes,4800000,16500000,10,350, Rejected,14300000,8500000,3.4375,1.3818181818181818,Poor
4, Not Graduate, No,4900000,10700000,20,321, Rejected,17600000,1600000,2.183673469387755,1.794392523364486,Poor
3, Graduate, Yes,4800000,10100000,4,368, Rejected,20000000,14200000,2.1041666666666665,3.386138613861386,Poor
4, Graduate, No,9300000,24900000,14,455, Rejected,49000000,32300000,2.6774193548387095,3.2650602409638556,Poor
5, Not Graduate, Yes,7500000,24600000,8,744, Approved,26000000,5200000,3.28,1.2682926829268293,Good
1, Graduate, No,5900000,16800000,4,806, Approved,29900000,20900000,2.847457627118644,3.0238095238095237,Excellent
0, Graduate, No,9400000,27900000,6,456, Rejected,43400000,39900000,2.9680851063829787,2.985663082437276,Poor
5, Graduate, No,5300000,13400000,8,719, Approved,16700000,1800000,2.5283018867924527,1.3805970149253732,Good
4, Graduate, No,3700000,9000000,18,668, Approved,16500000,9400000,2.4324324324324325,2.8777777777777778,Good
0, Graduate, Yes,2500000,5800000,18,494, Rejected,10800000,9500000,2.32,3.5,Poor
4, Not Graduate, No,2800000,10800000,2,841, Approved,11200000,3300000,3.857142857142857,1.3425925925925926,Excellent
0, Graduate, Yes,5400000,21400000,8,721, Approved,24100000,14600000,3.962962962962963,1.808411214953271,Good
5, Graduate, No,3100000,9400000,10,414, Rejected,10800000,5500000,3.032258064516129,1.7340425531914894,Poor
5, Not Graduate, No,4800000,15500000,10,812, Approved,21300000,11000000,3.2291666666666665,2.0838709677419356,Excellent
1, Not Graduate, No,8800000,17500000,20,832, Approved,31400000,5400000,1.9886363636363635,2.1028571428571428,Excellent
2, Graduate, No,4100000,14900000,12,571, Approved,16400000,5100000,3.6341463414634148,1.4429530201342282,Fair
5, Not Graduate, No,9700000,37000000,14,459, Rejected,28400000,46600000,3.814432989690722,2.027027027027027,Poor
2, Graduate, Yes,6400000,24100000,6,592, Approved,26200000,8800000,3.765625,1.4522821576763485,Fair
5, Graduate, No,3400000,13100000,20,527, Rejected,12600000,5400000,3.8529411764705883,1.3740458015267176,Poor
4, Not Graduate, No,3500000,10200000,12,333, Rejected,11500000,14000000,2.914285714285714,2.5,Poor
3, Not Graduate, No,3200000,10000000,18,532, Rejected,11900000,3400000,3.125,1.53,Poor
2, Graduate, Yes,4900000,13100000,18,754, Approved,23700000,11500000,2.673469387755102,2.687022900763359,Excellent
0, Graduate, Yes,1300000,4800000,4,835, Rejected,4100000,600000,3.6923076923076925,0.9791666666666666,Excellent
4, Graduate, No,2500000,5400000,10,592, Approved,12800000,4900000,2.16,3.2777777777777777,Fair
0, Graduate, No,7500000,27300000,20,553, Approved,32300000,14400000,3.64,1.7106227106227105,Fair
2, Graduate, No,700000,2000000,8,806, Approved,2600000,3000000,2.857142857142857,2.8,Excellent
4, Graduate, Yes,8200000,28500000,2,378, Approved,37900000,18000000,3.475609756097561,1.96140350877193,Poor
1, Not Graduate, No,6900000,26200000,4,534, Approved,24300000,26400000,3.7971014492753623,1.9351145038167938,Poor
1, Not Graduate, Yes,1500000,5900000,16,400, Rejected,6300000,6600000,3.933333333333333,2.1864406779661016,Poor
3, Graduate, No,6300000,18300000,18,543, Rejected,21200000,11200000,2.9047619047619047,1.7704918032786885,Poor
0, Not Graduate, Yes,8800000,25600000,10,715, Approved,43500000,27800000,2.909090909090909,2.78515625,Good
4, Graduate, Yes,8900000,20700000,6,684, Approved,27100000,10300000,2.3258426966292136,1.8067632850241546,Good
3, Not Graduate, Yes,2100000,6100000,8,346, Rejected,7400000,6100000,2.9047619047619047,2.2131147540983607,Poor
1, Graduate, Yes,9200000,29200000,6,669, Approved,35100000,22800000,3.1739130434782608,1.9828767123287672,Good
2, Not Graduate, No,3600000,8000000,12,566, Approved,11600000,13500000,2.2222222222222223,3.1375,Fair
0, Not Graduate, Yes,8600000,23600000,2,361, Rejected,32200000,31100000,2.744186046511628,2.6822033898305087,Poor
5, Graduate, No,3000000,8000000,6,333, Rejected,10400000,3600000,2.6666666666666665,1.75,Poor
3, Not Graduate, Yes,5200000,16300000,8,335, Rejected,20900000,16500000,3.1346153846153846,2.294478527607362,Poor
3, Graduate, Yes,7200000,20400000,10,558, Approved,37800000,13200000,2.8333333333333335,2.5,Fair
1, Not Graduate, Yes,4000000,15600000,12,436, Rejected,18000000,13200000,3.9,2.0,Poor
1, Not Graduate, No,2400000,5200000,2,371, Rejected,9900000,9200000,2.1666666666666665,3.673076923076923,Poor
2, Not Graduate, Yes,5500000,18400000,10,515, Rejected,22600000,11200000,3.3454545454545452,1.8369565217391304,Poor
0, Not Graduate, Yes,9000000,24300000,10,599, Approved,33300000,16300000,2.7,2.0411522633744856,Fair
0, Not Graduate, Yes,7900000,24000000,20,728, Approved,29200000,34200000,3.037974683544304,2.6416666666666666,Good
2, Not Graduate, Yes,6200000,21600000,20,679, Approved,33600000,21100000,3.4838709677419355,2.5324074074074074,Good
3, Graduate, Yes,7900000,29200000,4,399, Approved,37100000,28700000,3.6962025316455698,2.2534246575342465,Poor
3, Not Graduate, No,1200000,4500000,6,819, Approved,5300000,2500000,3.75,1.7333333333333334,Excellent
1, Graduate, No,4700000,11700000,6,308, Rejected,18800000,12900000,2.4893617021276597,2.7094017094017095,Poor
5, Graduate, Yes,5900000,15600000,2,730, Approved,21800000,17300000,2.6440677966101696,2.5064102564102564,Good
4, Not Graduate, Yes,1400000,5100000,14,312, Rejected,4600000,5000000,3.642857142857143,1.8823529411764706,Poor
3, Not Graduate, Yes,4700000,12800000,16,740, Approved,17800000,10800000,2.723404255319149,2.234375,Good
5, Graduate, Yes,7600000,20000000,10,522, Rejected,24700000,22900000,2.6315789473684212,2.38,Poor
4, Graduate, No,7200000,16900000,4,702, Approved,31600000,23000000,2.3472222222222223,3.230769230769231,Good
4, Not Graduate, Yes,1400000,4300000,16,447, Rejected,6300000,4800000,3.0714285714285716,2.5813953488372094,Poor
5, Graduate, No,1400000,2900000,4,829, Approved,7000000,1400000,2.0714285714285716,2.896551724137931,Excellent
2, Graduate, No,7900000,18500000,18,727, Approved,26700000,32600000,2.3417721518987342,3.2054054054054055,Good
5, Not Graduate, Yes,7600000,18700000,14,509, Rejected,25900000,17000000,2.460526315789474,2.2941176470588234,Poor
3, Graduate, Yes,9600000,34200000,2,745, Approved,39700000,4500000,3.5625,1.2923976608187135,Good
1, Not Graduate, No,2300000,6600000,18,513, Rejected,10600000,5500000,2.869565217391304,2.4393939393939394,Poor
2, Not Graduate, No,8100000,18500000,6,372, Rejected,38900000,29300000,2.2839506172839505,3.6864864864864866,Poor
2, Graduate, Yes,300000,700000,4,411, Rejected,1300000,600000,2.3333333333333335,2.7142857142857144,Poor
4, Graduate, No,4700000,10800000,20,495, Rejected,21500000,18100000,2.297872340425532,3.6666666666666665,Poor
5, Not Graduate, No,1100000,2500000,4,827, Approved,4700000,3400000,2.272727272727273,3.24,Excellent
4, Not Graduate, No,8600000,25100000,6,820, Approved,34300000,19400000,2.9186046511627906,2.139442231075697,Excellent
5, Graduate, Yes,8700000,28100000,10,660, Approved,36000000,26300000,3.2298850574712645,2.2170818505338077,Good
0, Not Graduate, No,2200000,8600000,4,563, Approved,7200000,1900000,3.909090909090909,1.058139534883721,Fair
1, Not Graduate, Yes,500000,1400000,10,883, Approved,2000000,900000,2.8,2.0714285714285716,Excellent
0, Not Graduate, Yes,9100000,22000000,12,387, Rejected,38700000,40900000,2.4175824175824174,3.618181818181818,Poor
1, Graduate, No,2200000,8700000,12,613, Approved,8100000,2300000,3.9545454545454546,1.1954022988505748,Fair
0, Not Graduate, Yes,2200000,8000000,14,335, Rejected,9800000,6500000,3.6363636363636362,2.0375,Poor
1, Graduate, Yes,9600000,34500000,2,795, Approved,41300000,10400000,3.59375,1.4985507246376812,Excellent
1, Graduate, Yes,6500000,13900000,8,369, Rejected,25500000,9900000,2.1384615384615384,2.5467625899280577,Poor
4, Graduate, Yes,2400000,7400000,18,888, Approved,10800000,4300000,3.0833333333333335,2.0405405405405403,Excellent
4, Not Graduate, No,5500000,12300000,6,742, Approved,24100000,15600000,2.2363636363636363,3.227642276422764,Good
0, Graduate, No,5000000,14400000,4,874, Approved,18000000,12300000,2.88,2.1041666666666665,Excellent
